date,home_team,away_team,tournament,neutral,is_friendly,home_elo_before,away_elo_before,elo_diff,home_win_rate_5,home_win_rate_10,home_goals_scored_avg_5,home_goals_scored_avg_10,home_goals_conceded_avg_5,home_goals_conceded_avg_10,home_goal_diff_avg_5,home_goal_diff_avg_10,away_win_rate_5,away_win_rate_10,away_goals_scored_avg_5,away_goals_scored_avg_10,away_goals_conceded_avg_5,away_goals_conceded_avg_10,away_goal_diff_avg_5,away_goal_diff_avg_10,home_advantage,h2h_home_win_rate,h2h_avg_goal_diff,h2h_num_meetings,home_streak,away_streak,home_days_since_last,away_days_since_last,home_squad_value,away_squad_value,squad_value_diff,home_avg_age,away_avg_age,home_sentiment_avg,away_sentiment_avg,sentiment_diff,home_sentiment_volume,away_sentiment_volume,outcome
1990-02-04,Costa Rica,Uruguay,Miami Cup,1,0,1508.0,1508.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,1,1,2.0,2.0,19.73509048328846,19.627817720999673,0.1072727622887868,26.1,24.24,0.0,0.0,0.0,0,0,-1
1990-02-04,Iran,Poland,Friendly,0,1,1493.6,1506.4,-12.800000000000182,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-2.0,1,-1,1,2.0,2.0,19.839287631749496,19.741351208461104,0.0979364232883917,24.26,25.94,-0.7662,0.1687,-0.9349,1,3,-1
1990-02-04,South Korea,Norway,Malta International Tournament,1,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.573164869541316,19.819634858657096,-0.24646998911578066,23.7,25.64,0.0,0.0,0.0,0,0,-1
1990-02-04,United States,Colombia,Miami Cup,0,0,1492.0,1492.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0,-1,-1,2.0,2.0,19.752355143986136,19.750425867117585,0.0019292768685517103,24.41,25.0,0.0,0.0,0.0,0,0,0
1990-02-05,Thailand,Indonesia,King's Cup,0,0,1508.0,1491.8158257405153,16.184174259484735,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,-1.0,-1.0,1.0,0.0,0.0,0,1,-1,7.0,3.0,17.85912864758114,16.206369222711558,1.6527594248695827,24.43,26.12,0.0,0.0,0.0,0,0,0
1990-02-05,United Arab Emirates,Denmark,Friendly,0,1,1500.2356780956495,1500.0,0.23567809564951858,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,1,0,9.0,30.0,18.243107965839517,19.729990054247896,-1.4868820884083789,25.34,24.96,0.0,0.0,0.0,0,0,0
1990-02-07,Malta,Norway,Malta International Tournament,0,0,1500.0,1508.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,1,30.0,3.0,18.070706060196137,19.819634858657096,-1.748928798460959,25.4,25.64,0.0,0.0,0.0,0,0,0
1990-02-10,Malta,South Korea,Malta International Tournament,0,0,1500.1841742594847,1492.0,8.184174259484735,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0,0,-1,3.0,6.0,18.070706060196137,19.573164869541316,-1.5024588093451783,25.4,23.7,0.0,0.0,0.0,0,0,-1
1990-02-10,Uganda,Mauritius,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,17.928584344794576,18.12198490873742,-0.19340056394284488,27.35,23.84,0.0,0.0,0.0,0,0,1
1990-02-11,Kuwait,Poland,Friendly,1,1,1487.202171411786,1512.5643219043504,-25.362150492564524,0.0,0.0,0.5,0.5,1.5,1.5,-1.0,-1.0,1.0,1.0,1.5,1.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0,-2,2,16.0,7.0,16.36238719866352,19.741351208461104,-3.378964009797585,26.48,25.94,0.0,0.0,0.0,0,0,0
